Year,Admission Rate (Total),Admission Rate (Men),Admission Rate (Women)
2013,32.31,31.76,32.77
2014,32.22,32.08,32.34
2015,28.48,28.98,28.04
2016,28.88,29.13,28.66
2017,27.44,27.15,27.69
2018,19.34,18.93,19.68
2019,18.05,18.35,17.80
2020,20.48,20.81,20.19
2021,18.00,16.00,20.00
