Year,Living On Campus,Living Off Campus,Student Preference
2013,"$58,096","$58,096",On Campus
2014,"$60,290","$60,290",On Campus
2015,"$62,800","$62,800",On Campus
2016,"$65,503","$65,503",Off Campus
2017,"$68,177","$68,177",On Campus
2018,"$70,592","$71,202",On Campus
2019,"$73,236","$73,236",On Campus
2020,"$75,732","$75,732",Off Campus
2021,"$78,202","$78,202",Off Campus
